time,predators_mean,predators_ci_lower,predators_ci_upper,prey_mean,prey_ci_lower,prey_ci_upper,prey_predator_ratio_mean,prey_predator_ratio_ci_lower,prey_predator_ratio_ci_upper,predator_growth_rate_mean,predator_growth_rate_ci_lower,predator_growth_rate_ci_upper,prey_growth_rate_mean,prey_growth_rate_ci_lower,prey_growth_rate_ci_upper,predator_gender_ratio_mean,predator_gender_ratio_ci_lower,predator_gender_ratio_ci_upper,prey_gender_ratio_mean,prey_gender_ratio_ci_lower,prey_gender_ratio_ci_upper,total_biomass_mean,total_biomass_ci_lower,total_biomass_ci_upper
0.0,100.0,,,500.0,,,5.0,,,0.0,,,0.0,,,1.0,,,1.0,,,600.0,,
0.5,89.43333333333334,84.39038766540698,94.4762790012597,287.43333333333334,275.51427780865214,299.35238885801454,3.3154885814597965,3.0158899326449307,3.6150872302746624,-0.10566666666666666,-0.1560961233459303,-0.055237209987403064,-0.4251333333333333,-0.44897144438269576,-0.40129522228397096,1.0086455921717155,0.9674703131475184,1.0498208711959125,0.9883893236930597,0.95398536927724,1.0227932781088795,376.8666666666667,365.8241100440295,387.90922328930384
1.0,73.56666666666666,68.28073443260499,78.85259890072834,190.03333333333333,178.39437381649648,201.67229285017018,2.6892684324520886,2.4185607741801873,2.959976090723989,-0.17322331863299115,-0.2181002344810983,-0.1283464027848841,-0.338120335854876,-0.3688631236311036,-0.3073775480786483,0.9855246122072825,0.9117111827741599,1.0593380416404048,1.0016338567796608,0.954727520919915,1.0485401926394067,263.6,252.20352691514697,274.99647308485305
1.5,58.56666666666667,54.33559525515015,62.79773807818319,139.76666666666668,133.63044229482406,145.9028910385093,2.5044032243091077,2.2436599650746465,2.765146483543568,-0.19599905684253435,-0.24371612971325904,-0.14828198397180978,-0.2541930222195024,-0.2899538241909919,-0.21843222024801293,0.9918156629344079,0.9054042269137673,1.078227098955049,0.9772856752916479,0.9041499876437726,1.0504213629395232,198.33333333333334,191.94629026456255,204.72037640210414
2.0,48.1,43.887529965094835,52.31247003490517,114.2,106.00944866406206,122.39055133593794,2.529349126610351,2.190828872728071,2.867869380492632,-0.17253080819024397,-0.2287689315019334,-0.11629268487855458,-0.17989464646311518,-0.23432297326504925,-0.1254663196611811,1.019878023624342,0.8773853712419113,1.162370676006773,1.0260126288325937,0.9461941324612544,1.105831125203933,162.3,153.29802480058459,171.30197519941544
2.5,39.56666666666667,35.60678446997009,43.52654886336325,99.7,91.9897720296086,107.4102279703914,2.6955569424685977,2.3460173551805017,3.0450965297566945,-0.1739061052084837,-0.21706461327550622,-0.1307475971414612,-0.12402902718487634,-0.162334791238189,-0.08572326313156367,1.032027525747295,0.9101476194545979,1.1539074320399922,1.0254033602458348,0.9271805547761373,1.1236261657155326,139.26666666666668,130.43737729169894,148.09595604163442
3.0,32.733333333333334,29.138437481658762,36.328229185007906,85.46666666666667,77.91611978646817,93.01721354686516,2.844251725390806,2.440456433002428,3.248047017779183,-0.1662184176599795,-0.21959784308455318,-0.11283899223540586,-0.1394909428972306,-0.18585146301122796,-0.09313042278323314,1.0582919276572527,0.9072362567141916,1.2093475986003137,1.0251335928223377,0.9356290228525601,1.1146381627921154,118.2,110.03355188699649,126.36644811300351
3.5,28.466666666666665,25.801396133086044,31.131937200247286,76.5,68.17937099800477,84.82062900199523,2.856774651016673,2.4477607804626147,3.2657885215707316,-0.10813015980790404,-0.1633843082304972,-0.05287601138531089,-0.10406722544812,-0.16301500007744926,-0.04511945081879073,1.0578743097860746,0.9215879392351904,1.1941606803369582,1.0287582464376317,0.9373115358778054,1.1202049569974581,104.96666666666667,96.33923575974215,113.59409757359118
4.0,23.466666666666665,21.370968158607795,25.562365174725535,70.46666666666667,64.30226023157132,76.63107310176201,3.1043037301663245,2.773372453539447,3.435235006793202,-0.1553612367407325,-0.22034825451945847,-0.09037421896200656,-0.052846219247400975,-0.10851185567377641,0.002819417178974451,1.1835234672734674,0.9953575887423542,1.3716893458045805,1.0328268362460167,0.9535074578303234,1.11214621466171,93.93333333333334,86.62074215348454,101.24592451318213
4.5,21.6,19.114190687929916,24.085809312070086,66.86666666666666,59.66818676701236,74.06514656632096,3.330964583110592,2.814039789465755,3.84788937675543,-0.07110180083571696,-0.15120555635223493,0.00900195468080102,-0.05012606751355051,-0.11147239459956243,0.011220259572461422,1.1117415917415916,0.9260462053178787,1.297436978165305,1.0786728149213036,0.9877045541447422,1.169641075697865,88.46666666666667,80.2671193211632,96.66621401217014
5.0,19.533333333333335,16.99748114383572,22.06918552283095,67.73333333333333,60.9799568668389,74.48670979982778,3.808268083171771,3.2288297938568236,4.387706372486717,-0.08684074473396917,-0.1567674712550547,-0.016914018212883644,0.028626521758569952,-0.03147012307249192,0.08872316658963181,1.128995459877813,0.9361197704505998,1.321871149305026,1.0109583880764992,0.9217147457749931,1.100202030378005,87.26666666666667,79.4181306187644,95.11520271456894
5.5,17.5,15.151130983405002,19.848869016594996,66.4,58.715100120653055,74.08489987934695,4.15824065955857,3.534725312393518,4.781756006723621,-0.08993017159102498,-0.1608313952650965,-0.019028947916953504,-0.008075228951087681,-0.0799121961306434,0.06376173822846803,1.1467652717652717,0.9090141365135398,1.3845164070170035,1.0283097857456864,0.9260085831799676,1.1306109883114053,83.9,75.28826186864517,92.51173813135485
6.0,16.466666666666665,14.159134393199862,18.774198940133466,63.0,56.357118904639364,69.64288109536064,4.259862782017587,3.580210892249102,4.939514671786071,-0.043768469366133704,-0.12788323673149268,0.04034629799922528,-0.03153851649288058,-0.09149144170750885,0.02841440872174769,1.1982887482887483,0.9597780566512875,1.4367994399262096,1.0265221178300699,0.9325984802966805,1.1204457553634597,79.46666666666667,72.00000336245724,86.9333299708761
6.5,15.266666666666667,12.960801886328724,17.57253144700461,61.5,55.45291132074697,67.54708867925304,4.652884660216468,3.8608762709911657,5.444893049441771,-0.07056418880996299,-0.1280418309216028,-0.013086546698323182,0.0012888629187680245,-0.07414937437700142,0.07672710021453746,1.2365612165612165,0.9755658794144878,1.4975565537079456,1.0412277889646362,0.9186622042400633,1.1637933736892092,76.76666666666667,70.16904349115893,83.3642898421744
7.0,14.466666666666667,12.289942386552916,16.643390946780418,61.6,54.09296414122367,69.10703585877633,4.885176872115087,4.071476140293975,5.698877603936199,-0.033897505875766745,-0.09926775279734625,0.031472741045812755,0.0008553778336007021,-0.06865941860419399,0.07037017427139537,1.2873485773485773,1.0207416218305356,1.553955532866619,1.1085125703150793,0.9754694135563939,1.2415557270737647,76.06666666666666,68.26544334362247,83.86788998971086
7.5,15.3,12.710830002909791,17.88916999709021,56.36666666666667,49.99005805191123,62.74327528142211,4.403311708124065,3.702871091847209,5.10375232440092,0.06215020267369171,-0.034841004404085406,0.15914140975146882,-0.05376200966429099,-0.13858221997507064,0.03105820064648867,1.269812534959594,1.0157669921404178,1.52385807777877,1.0869680524541079,0.9565842422587154,1.2173518626495003,71.66666666666667,64.60943488635344,78.7238984469799
8.0,15.8,13.027449138066661,18.57255086193334,54.63333333333333,47.04610177238275,62.22056489428392,4.128559694483036,3.3645269092638515,4.892592479702218,0.04117469920959623,-0.022181732980236117,0.10453113139942857,-0.03141557177409113,-0.09694725609308381,0.03411611254490156,1.2372844455739194,0.9486036959031379,1.5259651952447004,1.0812250334270972,0.9347650819381087,1.2276849849160851,70.43333333333334,61.86618922395484,79.00047744271184
8.5,14.033333333333333,11.929049066972246,16.13761759969442,54.833333333333336,48.71877303275064,60.94789363391603,4.476761285011285,3.7700442386501325,5.183478331372436,-0.07260667275198167,-0.14364535106660253,-0.001567994437360845,0.044125029644030735,-0.04496072567086623,0.13321078495892769,1.2803342953342953,0.8558524184030312,1.7048161722655604,1.0554563795819951,0.9128766635634087,1.1980360956005816,68.86666666666666,61.79283099981344,75.94050233351987
9.0,13.566666666666666,11.802426851669866,15.330906481663467,55.86666666666667,50.544430221526206,61.18890311180713,4.550232599071609,3.8846122765762665,5.215852921566951,0.01388637007115268,-0.08004235324223229,0.10781509338453764,0.04245965605829246,-0.03301939531390128,0.1179387074304862,1.2119781144781145,0.9380799985179374,1.4858762304382909,1.1045968026561999,0.9283717808686203,1.28082182444378,69.43333333333334,63.15612349646331,75.71054317020337
